"label","location_id","feature_set_name"
"B-1SU",216,"zoning"
"B-3-SU",216,"zoning"
"B-4-SU",216,"zoning"
"CBD",216,"zoning"
"CD",216,"zoning"
"GB",216,"zoning"
"G-I",216,"zoning"
"G-I-SU",216,"zoning"
"M-U-SU",216,"zoning"
"OT",216,"zoning"
"R-10",216,"zoning"
"R-10SU",216,"zoning"
"R-12SU",216,"zoning"
"R-15SU",216,"zoning"
"R-20",216,"zoning"
"R-20SU",216,"zoning"
"R-40",216,"zoning"
"R-MF",216,"zoning"
"R-MH",216,"zoning"
"R-O-SU",216,"zoning"
"R-P1SU",216,"zoning"
"Split",216,"zoning"
"AG",217,"zoning"
"BC",217,"zoning"
"C-74",217,"zoning"
"CIV",217,"zoning"
"CP-485",217,"zoning"
"CZ",217,"zoning"
"IND",217,"zoning"
"MFT",217,"zoning"
"MU-1",217,"zoning"
"MU-2",217,"zoning"
"SFR-1",217,"zoning"
"SFR-2",217,"zoning"
"SFR-3",217,"zoning"
"TC",217,"zoning"
"NC-CZ",219,"zoning"
"R1",219,"zoning"
"R3",219,"zoning"
"R4",219,"zoning"
"R4-CZ",219,"zoning"
"B1-CU",223,"zoning"
"B2-CU",223,"zoning"
"CB-CU",223,"zoning"
"HD MF",223,"zoning"
"HD MF-CU",223,"zoning"
"HD MF-CZ",223,"zoning"
"HD SF",223,"zoning"
"HD SF-CU",223,"zoning"
"HD SF-CZ",223,"zoning"
"LD-CU",223,"zoning"
"LI-CU",223,"zoning"
"MD-CU",223,"zoning"
"MH-CU",223,"zoning"
"MORR-CU",223,"zoning"
"O&I-CU",223,"zoning"
"PC-CU",223,"zoning"
"PUD-CU",223,"zoning"
"TND-CU",223,"zoning"
"CT",224,"zoning"
"CT-C",224,"zoning"
"GC",224,"zoning"
"GCCU",224,"zoning"
"I",224,"zoning"
"ICU",224,"zoning"
"MXD",224,"zoning"
"OI",224,"zoning"
"OICU",224,"zoning"
"ORD",224,"zoning"
"ORDCU",224,"zoning"
"PDDMajor",224,"zoning"
"PDDMinor",224,"zoning"
"R12",224,"zoning"
"R12-C",224,"zoning"
"R12CU",224,"zoning"
"R20",224,"zoning"
"R20CU",224,"zoning"
"R40",224,"zoning"
"R40-C",224,"zoning"
"R40CU",224,"zoning"
"R8",224,"zoning"
"R8-C",224,"zoning"
"R8CU",224,"zoning"
"RMF-C",224,"zoning"
"RMFCU",224,"zoning"
"R/R",224,"zoning"
"TC",224,"zoning"
"TCCU",224,"zoning"
"TR",224,"zoning"
"TRCU",224,"zoning"
"CDF",225,"zoning"
"CDF I (CZD)",225,"zoning"
"CDFII",225,"zoning"
"CDF II (CZD)",225,"zoning"
"CH",225,"zoning"
"CH (CZD)",225,"zoning"
"CS",225,"zoning"
"I",225,"zoning"
"LI",225,"zoning"
"LI (CZD)",225,"zoning"
"MA",225,"zoning"
"OI",225,"zoning"
"OI (CZD)",225,"zoning"
"OU",225,"zoning"
"PD",225,"zoning"
"R10",225,"zoning"
"R10 (CZD)",225,"zoning"
"R15",225,"zoning"
"R20",225,"zoning"
"R30",225,"zoning"
"R4",225,"zoning"
"R40",225,"zoning"
"R4 (CZD)",225,"zoning"
"R6",225,"zoning"
"R8",225,"zoning"
"HI",226,"zoning"
"LI",226,"zoning"
"IVMX-CD",227,"zoning"
"GR3",228,"zoning"
"GR3 MHD",228,"zoning"
"GR3 PUD",228,"zoning"
"GR8",228,"zoning"
"GR8 CD",228,"zoning"
"GR8 MHD",228,"zoning"
"GR8 PUD",228,"zoning"
"HB",228,"zoning"
"HB CD",228,"zoning"
