label,location_id,feature_set_name,match_status,matched_codes,matched_descriptions
DG,154,Riviera Beach Zoning,not_found,,
I-PUD,154,Riviera Beach Zoning,resolved,I|PUD,Industrial|Planned Unit Development District
DR,154,Riviera Beach Zoning,not_found,,
SP,154,Riviera Beach Zoning,not_found,,
DI,154,Riviera Beach Zoning,not_found,,
DM,154,Riviera Beach Zoning,not_found,,
R-PUD,154,Riviera Beach Zoning,resolved,R|PUD,Residential District|Planned Unit Development District
RS-5,151,Juno Beach Zoning,resolved,RS,Residential Single-Family
RS-3,151,Juno Beach Zoning,resolved,RS,Residential Single-Family
RS-1,151,Juno Beach Zoning,resolved,RS,Residential Single-Family
IL,154,Riviera Beach Zoning,resolved,I,Industrial
RS-4,151,Juno Beach Zoning,resolved,RS,Residential Single-Family
RS-2,151,Juno Beach Zoning,resolved,RS,Residential Single-Family
DC,154,Riviera Beach Zoning,resolved,DC-1,Downtown Core 1
IHC-PUD,154,Riviera Beach Zoning,resolved,IH|PUD,Industrial-Heavy|Planned Unit Development District
CC,183,zoning,not_found,,
 ,169,south_tucson Zoning,not_found,,
GR-1(H),175,zoning,resolved,GR-1,Rural residential zone
CB-2(H),175,zoning,resolved,CB-2,General business zone
SH(H),175,zoning,resolved,SH,Suburban homestead zone
CR-4(H),175,zoning,resolved,CR-4,Mixed-dwelling type zone
RH(H),175,zoning,resolved,RH,Rural homestead zone
CR-5(H),175,zoning,resolved,CR-5,Multiple residence zone
CR-5(GC),175,zoning,resolved,CR-5|GC,Multiple residence zone|Golf course zone
TH(H),175,zoning,resolved,TH,Trailer homesite zone
RH(GC),175,zoning,resolved,RH|GC,Rural homestead zone|Golf course zone
CB-1(H),175,zoning,resolved,CB-1,Local business zone
RMU,168,zoning,resolved,RMU-PAD,Regional Mixed-Use Planned Area Development
CR-2(H),175,zoning,resolved,CR-2,Single residence zone
SP,175,zoning,not_found,,
O-I,183,zoning,not_found,,
PUD,183,zoning,not_found,,
GC,183,zoning,not_found,,
RH,183,zoning,not_found,,
RE,183,zoning,not_found,,
NC,183,zoning,not_found,,
EC,183,zoning,not_found,,
RM,183,zoning,not_found,,
RL,183,zoning,not_found,,
CC-CZ,184,zoning,resolved,CC,Community Commercial
HI-CZ,184,zoning,resolved,HI,Heavy Industrial
CD-CZ,184,zoning,resolved,CD,Campus Development
LI-CZ,184,zoning,resolved,LI,Light Industrial
GC-CZ,184,zoning,resolved,GC,General Commercial
CD-R-CZ,184,zoning,resolved,CD-R,Campus Development Residential
OM,186,zoning,not_found,,
AG,186,zoning,not_found,,
MSP,186,zoning,not_found,,
CIV,186,zoning,not_found,,
C 601-CZ,186,zoning,not_found,,
OMP,186,zoning,not_found,,
IND,186,zoning,not_found,,
C601,186,zoning,not_found,,
C24/27,186,zoning,not_found,,
MS,186,zoning,not_found,,
R4-CZ,184,zoning,resolved,R4,Residential 4
R8-CZ,184,zoning,resolved,R8,Residential 8
R18-CZ,184,zoning,resolved,R18,Residential 18
